,community area name,total_pop,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,avg_temp,bgpopdense,tc_gap,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,tes
29,Greater Grand Crossing,966.7083333333334,0.5820650872122227,0.987609323461256,0.23298248771205107,26185.358333333334,0.627935863057971,0.23861977867144335,0.13647479004647,80.3508678795335,3775.9205335015035,0.20057958813221455,17.55,16.658333333333335,13.549999999999999,20.6,18.575,0.2186671087533156,0.4785384960348689,77.08752677560865
30,Hegewisch,1221.4166666666665,0.3563531777573309,0.5865921433836434,0.06376869554380325,48964.16666666667,0.5805448638409048,0.18817861682111242,0.16823009097397917,79.88995515839186,2023.8084141581849,0.2849457291878131,14.0,12.900000000000002,9.3,28.049999999999997,24.200000000000003,0.4815797229590335,0.350833813675347,78.77744646733696
31,Hermosa,1396.8333333333333,0.47235198110495985,0.8971726218903328,0.06292887068361457,41550.347222222226,0.556504392033955,0.247476464607321,0.10528075147459189,83.5160991675806,8295.335962485411,0.1308958001000757,13.783333333333333,14.316666666666668,9.183333333333334,22.566666666666666,21.816666666666666,0.32560909716082115,0.32825612599510184,87.13205218345541
32,Humboldt Park,1381.3322222222223,0.5331119006592282,0.9033315399559196,0.116247520352238,40440.45444444444,0.5967659585968058,0.27211099308986697,0.09430373487613983,81.8729383988898,7914.407841701125,0.15049964275229052,14.873333333333333,15.493333333333334,10.78,21.266666666666666,20.69333333333333,0.2767020335985852,0.3827761851450896,84.52306210036544
33,Hyde Park,1275.6944444444446,0.3543438676475866,0.5157375597521213,0.06773927616409577,60889.875,0.3530052198140938,0.11758671125416575,0.12923057189893025,75.81781476394055,9705.488885390578,0.05747990037867335,8.341666666666667,11.433333333333332,9.333333333333334,31.358333333333334,27.96666666666667,0.6254420866489832,0.3102551717771284,96.60691121866687
34,Irving Park,1235.3833333333334,0.27589963622635927,0.5497527677628005,0.0412310955147039,68563.42666666667,0.4524462455830957,0.20126707179644032,0.10407788893310423,80.97097922132522,7204.8326971739325,0.10374381498281077,9.706666666666667,11.333333333333334,8.44,31.220000000000002,28.30666666666667,0.63005698005698,0.3017585901833831,92.972988892859
35,Jefferson Park,1384.4833333333333,0.23558067696498539,0.37753431349875627,0.04773758624360792,77011.4888888889,0.558028465433542,0.19128192459297844,0.15948037188155806,83.55019330264415,5335.607355131503,0.17933046946031117,10.583333333333334,11.233333333333334,8.733333333333333,33.083333333333336,28.266666666666666,0.6648983200707337,0.3245753810583847,87.42061234506271
36,Kenwood,1330.452380952381,0.3639468593814357,0.8157153384815989,0.09952810050128331,53428.595238095244,0.6047895988893544,0.20728141066843864,0.15569010976896877,76.1132020402398,7445.258946609914,0.06880298018941709,11.142857142857142,11.542857142857143,10.957142857142857,28.342857142857145,25.785714285714285,0.5210727969348659,0.3522015628392373,94.52830149317317
37,Lake View,1411.2794117647059,0.15450873942727195,0.21049526397868204,0.028363586899722706,102779.26470588235,0.2962538607510168,0.11972836031291412,0.08109402277123345,77.93566365024206,15318.716614864083,0.10743380039732157,5.4941176470588236,9.617647058823529,7.876470588235295,37.42941176470588,33.067647058823525,0.8507415786827552,0.27640653701722423,95.29322044276769
38,Lincoln Park,1423.5041666666666,0.14419688060587238,0.2115576353133623,0.02869740533988823,119184.73333333332,0.31748295280701866,0.14245073290432095,0.08784949485958442,77.98495435438709,13171.091507763966,0.09250282401789552,5.765,9.775,8.185,37.375,32.730000000000004,0.8424845269672856,0.286773955174977,95.88166317228496
39,Lincoln Square,1097.1257575757575,0.19096655561772904,0.3117426641077649,0.045251115104460816,79189.44545454545,0.35067137631580314,0.1594966220985232,0.09161240198574888,78.5290942700624,8116.011485239656,0.08326610562426852,7.5,10.145454545454545,8.127272727272727,35.654545454545456,31.509090909090904,0.7834378265412749,0.29314709933900035,95.80118137754856
40,Logan Square,1246.2413580246914,0.3002899576837101,0.5124549440481064,0.03969229955192502,80381.61851851853,0.3454246908869057,0.18004361954412268,0.0683369789531006,80.71051563916924,8929.932782680138,0.10708664593835009,8.329629629629629,11.248148148148148,8.203703703703704,29.81111111111111,27.84444444444444,0.5931902282476996,0.27213116607060933,92.96897365686229
41,Loop,2976.7,0.1569677549361472,0.3928317633024744,0.061274192799291305,118688.05,0.17188373638520296,0.05547562102029685,0.084167994194884,76.49760907198136,13327.923600708473,0.20318044099564334,5.7,10.52,8.4,34.980000000000004,32.44,0.7904067197170647,0.28950788648626335,90.55603044345979
42,Lower West Side,1384.2878787878788,0.4447642646151539,0.7912145577922729,0.06316663004227893,49609.66666666667,0.4236879561741993,0.18667182582108657,0.1037733958768925,82.41283605369523,8229.084077214557,0.20314529942175072,11.509090909090908,13.1,8.627272727272727,24.427272727272726,23.29090909090909,0.39275379792621157,0.2911427678476748,82.33995144560315
43,McKinley Park,1524.5333333333333,0.46919041495375635,0.8306869926899688,0.10590792226940812,46595.2,0.525301843394334,0.22935801753774845,0.11023013489382541,81.83280767257813,6006.995076199227,0.2281909984345063,12.86,13.180000000000001,8.68,25.32,22.84,0.4002210433244914,0.30867435258274456,78.92737593570375
44,Montclare,1256.9166666666665,0.39780381330233233,0.6685830087597799,0.06701184518796181,34298.2,0.6908616144927833,0.21708254729300874,0.16910173403497666,84.10221149704299,5645.741337575397,0.18058497258650807,12.75,12.8,9.149999999999999,28.2,24.25,0.4855216622458005,0.334500473919884,83.71800272273971
45,Morgan Park,970.1428571428571,0.2778984667573565,0.6211383926875599,0.10225866588526054,55301.7261904762,0.7243359837604161,0.2405927538225018,0.16887530950880073,80.21428583472277,2716.102338384989,0.14595623705716562,12.157142857142858,12.0,10.614285714285714,29.699999999999996,26.02857142857143,0.5522609574333714,0.3685466602341537,87.95247073106582
46,Mount Greenwood,1147.0375,0.11102312106879815,0.14591319933588623,0.03802506725776232,100371.7,0.6027817437234275,0.2378545626115976,0.13275631686868067,83.06894343964932,3620.023814619657,0.2215693369289697,8.8,10.975,8.825,35.5,29.95,0.7471632773356912,0.32603921918332024,87.68269514906635
47,Near North Side,1529.314880952381,0.19145387019876675,0.3051930290775613,0.039140979478632175,101293.36726190476,0.3694245828252107,0.07372643472186864,0.16898463565450259,76.92829762167433,21036.785898487375,0.17831303954806185,7.084999999999999,9.385,8.325,36.33,32.465,0.8168029767167699,0.29073608325182915,91.18764733952958
48,Near South Side,2562.9166666666665,0.27714114982296684,0.6293742680255442,0.010789904897067333,93175.08333333333,0.48906212690480827,0.1323180357616716,0.15878691016056617,78.54772544786017,8526.29538146943,0.253458421979949,7.966666666666666,9.366666666666667,8.633333333333333,32.03333333333333,28.866666666666664,0.6576038903625113,0.2666820922616193,84.65318844281587
49,Near West Side,1650.3541666666667,0.4265731571083471,0.666402027825738,0.10886757758218998,62835.28333333334,0.3871082762055417,0.1648544927835208,0.08775828163206773,81.11100903584749,7643.2488001323845,0.2374517827901196,10.43,13.235,10.11,27.355,25.220000000000002,0.4900604185086944,0.34260704088180755,79.88962966359203
50,New City,1109.3480392156864,0.6249539167408278,0.8923694960707769,0.19439635842962683,32247.37254901961,0.6993366131367396,0.27449970133870494,0.1289981844966471,81.08660564074285,5694.407796332981,0.15834800155862663,16.523529411764706,17.041176470588233,11.376470588235295,20.2,19.441176470588236,0.22951231774761177,0.424743078176204,83.22104750891931
51,North Center,1324.5214285714285,0.1193101384371801,0.23380859889496544,0.030274446827150425,119480.55476190476,0.4703217791535121,0.23901137373665474,0.07266166378135737,80.54131170696716,8155.55058793473,0.08421529340789315,6.242857142857143,9.65,7.964285714285714,36.52142857142857,33.01428571428571,0.8322070649656856,0.2816830013466776,95.57414384629773
52,North Lawndale,1059.111111111111,0.6626901415163985,0.9594135101708086,0.16023362808258004,28409.42222222222,0.6701266715360209,0.2771227245875323,0.11371688450666667,80.92073931182735,4846.568106863761,0.21480238743008198,18.366666666666667,18.453333333333333,13.753333333333334,19.14,17.826666666666664,0.1747077316042832,0.5074448652072187,76.04249883343526
53,North Park,1474.7416666666668,0.30209917113843404,0.4666998846499879,0.06394337493053606,66536.43333333333,0.8193222340749919,0.2104019749620733,0.20578977738629023,78.93089706108569,4851.884041674346,0.1062054562093675,10.674999999999999,10.35,8.3,32.325,28.475,0.6548224285293253,0.299231710946627,93.1638158301075
